,PLAYER,TEAM,FGM,FGA,FTM,FTA,3PM,PTS,TREB,AST,STL,BLK,TO
179,Tim Hardaway Jr.,DEN,4.5,10.1,2.0,2.2,2.8,13.7,2.4,1.4,0.5,0.1,0.5
180,Duncan Robinson,DET,4.0,9.2,1.1,1.5,2.9,12.1,2.7,1.8,0.7,0.4,0.7
181,Herbert Jones,NO,3.4,8.6,1.0,1.3,1.3,9.1,3.5,2.4,1.6,0.4,1.3
182,Malik Monk,SAC,4.5,10.0,1.5,1.7,2.0,12.5,2.0,2.5,0.7,0.4,1.4
183,Jeremiah Fears,NO,5.2,12.0,2.3,2.8,1.0,13.7,3.7,3.1,1.2,0.3,2.3
184,Jock Landale,MEM,4.5,8.6,1.4,2.1,1.2,11.6,6.5,1.7,0.5,0.5,1.0
185,Cameron Johnson,DEN,4.0,8.8,1.7,2.1,1.9,11.7,3.6,2.4,0.6,0.3,1.0
186,Aaron Wiggins,OKC,3.9,8.7,0.8,1.0,1.8,10.4,3.3,1.8,0.8,0.7,1.1
187,Jordan Poole,NO,4.5,12.1,3.0,3.5,2.5,14.5,1.8,3.1,0.7,0.3,1.9
188,TyTy Washington Jr.,LAC,3.0,4.5,0.0,0.0,1.0,7.0,0.5,1.5,1.0,0.5,0.0
189,Dominick Barlow,PHI,3.2,5.8,1.3,1.6,0.4,8.0,5.0,1.3,0.9,0.6,0.9
190,Tre Johnson,WAS,4.7,10.5,1.4,1.6,2.2,13.0,2.8,2.2,0.6,0.3,1.5
191,Andre Drummond,PHI,2.7,5.5,1.1,1.7,0.5,7.1,9.0,0.8,0.6,0.9,0.9
192,De'Andre Hunter,CLE,4.6,11.0,2.8,3.2,1.7,13.8,4.3,2.1,0.7,0.1,1.7
193,Dennis Schroder,SAC,4.4,10.5,2.7,3.4,1.4,12.8,3.0,5.5,0.8,0.1,2.0
194,Marvin Bagley III,WAS,4.0,6.4,1.8,2.6,0.2,10.0,5.7,1.5,0.5,0.7,1.2
195,Anfernee Simons,BOS,5.0,11.4,1.4,1.5,2.6,13.9,2.5,2.5,0.5,0.1,1.2
196,Day'Ron Sharpe,BKN,3.0,5.0,1.7,2.5,0.1,7.8,6.2,2.3,1.0,0.5,1.6
197,AJ Green,MIL,3.4,7.7,0.6,0.8,3.1,10.5,2.6,2.0,0.6,0.1,0.9
198,Collin Murray-Boyles,TOR,3.2,6.0,0.9,1.4,0.4,7.8,5.1,2.0,0.9,0.7,1.1
199,Rui Hachimura,LAL,4.7,9.5,0.9,1.1,1.8,12.1,3.6,0.9,0.6,0.3,0.8
200,Justin Champagnie,WAS,2.9,5.6,0.9,1.3,0.6,7.3,5.7,1.1,0.8,0.6,0.6
201,Bub Carrington,WAS,3.4,8.5,1.0,1.3,2.1,9.9,3.8,4.7,0.6,0.3,2.3
202,Jordan Goodwin,PHO,3.3,8.3,0.6,0.8,1.4,8.6,4.7,2.3,1.3,0.2,1.0
