,PLAYER,TEAM,FGM,FGA,FTM,FTA,3PM,PTS,TREB,AST,STL,BLK,TO
49,Joel Embiid,PHI,7.1,15.8,7.4,8.7,1.2,22.7,7.5,3.8,0.6,1.2,3.1
50,Onyeka Okongwu,ATL,6.0,12.3,2.5,3.2,2.1,16.6,8.2,2.7,1.0,1.1,2.0
51,Amen Thompson,HOU,7.1,14.0,3.3,4.2,0.5,18.0,7.3,5.4,1.2,0.7,2.5
52,Franz Wagner,ORL,8.4,17.8,4.3,5.0,1.6,22.6,5.7,4.5,1.2,0.4,2.2
53,Cooper Flagg,DAL,7.4,15.0,4.0,5.0,1.0,19.7,6.7,4.2,1.1,0.9,2.3
54,Tyler Herro,MIA,7.9,17.1,3.1,3.6,3.1,22.0,5.0,5.0,0.8,0.2,2.4
55,Desmond Bane,ORL,6.8,15.0,3.6,3.9,1.9,19.2,4.8,4.3,0.9,0.4,2.3
56,Jalen Duren,DET,7.0,11.2,3.0,4.2,0.0,17.0,10.4,1.6,1.0,1.0,2.3
57,Josh Hart,NY,5.0,10.0,1.4,1.7,1.4,12.8,8.3,4.7,1.4,0.3,2.1
58,Zach Edey,MEM,5.8,9.3,1.6,2.1,0.1,13.2,11.1,1.2,0.4,1.8,2.4
59,Immanuel Quickley,TOR,6.4,13.7,2.0,2.5,2.9,17.8,4.2,6.7,1.1,0.1,2.0
60,Kristaps Porzingis,ATL,6.4,12.9,3.7,4.5,2.1,18.5,6.4,2.0,0.7,1.4,1.7
61,Coby White,CHI,6.5,14.5,4.6,5.4,3.0,20.7,3.9,4.6,1.0,0.2,2.1
62,Jalen Suggs,ORL,5.4,11.5,2.0,2.5,2.2,15.1,3.5,3.4,1.8,0.8,2.2
63,LaMelo Ball,CHA,7.0,17.8,3.1,3.8,2.7,19.8,5.3,8.8,1.0,0.4,3.2
64,Neemias Queta,BOS,5.1,7.8,1.6,2.2,0.0,11.8,9.5,1.5,0.7,1.5,1.3
65,P.J. Washington,DAL,5.6,11.8,2.0,2.8,2.0,15.2,7.3,2.2,1.1,1.6,1.7
66,Isaiah Hartenstein,OKC,4.3,6.8,1.9,2.5,0.0,10.5,10.4,3.3,1.0,1.0,1.5
67,Collin Gillespie,PHO,5.0,10.8,1.1,1.4,3.2,14.3,4.1,5.4,1.4,0.2,1.3
68,Paolo Banchero,ORL,9.0,20.1,6.2,8.0,1.5,25.8,8.6,4.4,0.8,1.0,2.7
69,Andrew Wiggins,MIA,6.3,13.0,2.0,2.7,2.1,16.6,5.1,3.1,1.3,1.0,1.6
70,Walker Kessler,UTA,4.4,6.8,2.1,3.0,0.7,11.7,10.2,1.3,0.5,2.4,1.7
71,Darius Garland,CLE,6.8,15.0,2.8,3.3,2.5,18.9,2.8,7.7,1.0,0.1,2.8
72,Mark Williams,PHO,5.7,9.4,2.7,3.5,0.0,14.1,9.9,2.0,0.8,1.2,1.4
73,Brandon Ingram,TOR,8.4,18.0,4.2,4.9,1.8,22.7,4.9,4.2,0.7,0.6,2.5
74,Peyton Watson,DEN,4.9,9.6,1.9,2.4,1.9,13.5,5.5,2.0,1.0,1.3,1.3
75,OG Anunoby,NY,5.8,12.5,2.1,2.5,2.0,15.7,4.2,2.1,1.5,1.0,1.9
76,Rudy Gobert,MIN,4.3,6.5,2.5,3.8,0.0,11.2,10.9,1.3,0.6,1.8,1.2
77,LeBron James,LAL,7.4,14.7,4.4,6.0,1.9,21.1,5.1,5.5,1.2,0.5,3.5
78,Stephon Castle,SA,6.3,12.7,4.8,6.2,1.5,18.8,4.6,6.4,1.2,0.3,2.9
79,Pascal Siakam,IND,9.3,19.8,4.0,5.9,1.9,24.6,7.7,4.0,1.3,0.4,2.0
80,Myles Turner,MIL,4.6,10.5,1.4,1.8,2.3,12.8,6.7,1.5,0.7,2.0,1.6
81,Nicolas Claxton,BKN,5.3,9.7,3.1,4.4,0.0,13.7,8.1,4.0,1.0,1.5,1.6
82,Kyrie Irving,DAL,7.4,15.6,2.9,3.2,2.4,20.0,4.0,4.0,1.0,0.3,1.9
83,Keegan Murray,SAC,6.0,13.5,2.1,2.5,1.4,15.6,6.5,1.7,1.2,1.1,0.9
84,Nickeil Alexander-Walker,ATL,6.4,14.8,2.1,2.5,3.2,18.0,3.6,3.5,1.2,0.6,1.4
85,Jrue Holiday,POR,4.9,10.9,1.1,1.2,2.1,12.9,5.1,5.1,1.1,0.7,1.7
86,Nikola Vucevic,CHI,6.8,14.0,1.4,1.7,1.9,16.7,9.5,3.0,0.8,0.3,1.5
87,Ryan Rollins,MIL,6.0,12.8,2.0,2.5,2.6,16.6,3.7,4.9,1.3,0.3,2.1
88,Zion Williamson,NO,8.2,15.0,7.2,9.4,0.1,23.8,6.1,3.7,1.0,0.6,2.6
89,VJ Edgecombe,PHI,6.2,14.7,2.2,2.7,2.4,17.0,5.1,4.2,1.5,0.5,1.5
90,Jabari Smith Jr.,HOU,6.0,13.1,2.2,2.7,2.4,16.6,6.7,1.5,0.9,0.8,1.2
91,Ryan Kalkbrenner,CHA,4.0,6.1,1.0,1.4,0.0,9.1,6.9,0.8,0.8,1.7,0.8
92,Jayson Tatum,BOS,6.7,14.5,3.9,4.7,2.4,19.6,6.1,4.0,0.8,0.4,2.0
93,Kelly Oubre Jr.,PHI,6.3,13.5,2.8,3.5,1.7,17.0,6.0,1.8,1.4,0.7,1.4
94,Jaylon Tyson,CLE,5.3,10.5,1.1,1.5,1.9,13.7,5.5,2.4,1.2,0.6,1.3
95,Santi Aldama,MEM,5.8,12.1,2.2,2.9,2.0,15.8,6.8,2.9,0.8,0.7,1.2
96,Reed Sheppard,HOU,4.5,9.5,1.3,1.6,2.9,13.1,2.6,3.5,1.4,0.4,1.5
97,John Collins,LAC,5.2,9.9,2.3,2.8,1.2,14.0,5.3,0.9,1.0,1.0,1.6
98,Miles Bridges,CHA,6.9,15.8,2.6,3.0,2.3,18.5,6.4,3.2,0.5,0.8,1.8
99,Matas Buzelis,CHI,5.3,10.8,1.9,2.4,1.6,14.0,4.8,1.6,0.9,1.4,1.9
100,Wendell Carter Jr.,ORL,4.4,8.2,2.3,3.0,1.3,12.5,7.8,2.1,0.8,0.8,1.3
101,Jaden McDaniels,MIN,5.3,10.3,1.8,2.2,1.3,13.6,5.3,2.8,0.9,0.8,1.3
102,Paul George,PHI,5.6,13.0,2.4,2.8,2.5,16.2,4.3,3.3,1.2,0.4,1.8
103,Derik Queen,NO,5.4,11.0,3.5,4.5,0.2,14.4,6.8,4.9,1.0,0.8,2.1
